Sat,Lat,Lon,Alt,Date
29,43.7140995265,-109.3899181283,20165784.7363952473,2019-06-10T00:30:15Z
30,21.2287031197,4.9606539022,20289799.4399115033,2019-06-10T00:30:15Z
31,3.4272601942,165.3551613372,20425754.5714930966,2019-06-10T00:30:15Z
32,-49.9494930089,162.6015546319,20123637.5322641395,2019-06-10T00:30:15Z
1,-55.9648633068,77.4871645840,20348444.4895992801,2019-06-10T00:30:30Z
2,27.9378144967,-39.5511383945,20395613.6072870344,2019-06-10T00:30:30Z
3,-24.4651162210,64.5185511160,20246180.2186499983,2019-06-10T00:30:30Z
4,54.6515710992,27.3445720651,20208530.6821156517,2019-06-10T00:30:30Z
5,53.6541035786,-59.3455238795,20081842.1554449052,2019-06-10T00:30:30Z
6,-0.1629871658,-13.9699655340,20200886.8877733126,2019-06-10T00:30:30Z
7,41.8922594545,26.1363667767,20520206.2017921843,2019-06-10T00:30:30Z
8,-6.5813025583,100.7429462094,20067091.5393820442,2019-06-10T00:30:30Z
9,48.1155059137,52.8323678307,20162745.7586866952,2019-06-10T00:30:30Z
10,-33.1988691978,-161.1292258114,20234732.5327124856,2019-06-10T00:30:30Z
11,-44.4453383122,90.9209093706,20629372.4445266686,2019-06-10T00:30:30Z
12,-28.5281356981,-108.8672532597,20365860.8703210168,2019-06-10T00:30:30Z
13,9.3445364605,-60.3829421928,20138407.6479408816,2019-06-10T00:30:30Z
14,-38.6130191515,144.4830261315,19922746.9792632461,2019-06-10T00:30:30Z
15,-9.0989982956,-86.2421659352,20011894.3727430478,2019-06-10T00:30:30Z
16,55.1946130137,124.1567197882,19998988.2742624655,2019-06-10T00:30:30Z
17,-52.2919001930,-11.6965200667,19860382.1791332141,2019-06-10T00:30:30Z
18,-47.9515025297,111.6039707171,20528972.0074498355,2019-06-10T00:30:30Z
19,-41.8054714530,-31.5928427290,20416201.8028887883,2019-06-10T00:30:30Z
20,-12.3562201828,-150.2820546119,20286927.7870896161,2019-06-10T00:30:30Z
21,35.0472819935,-167.1813460817,20574148.0343689993,2019-06-10T00:30:30Z
22,-37.9503289374,77.5949063093,20076477.8433031142,2019-06-10T00:30:30Z
23,27.3272969561,82.9579869419,20153674.9672676660,2019-06-10T00:30:30Z
24,-52.6944543557,-90.5051097562,20286805.3910861239,2019-06-10T00:30:30Z
25,-3.6737660137,-131.2655045365,20333551.3647313714,2019-06-10T00:30:30Z
26,50.4596036482,164.9867856402,20209075.9885991849,2019-06-10T00:30:30Z
27,18.4309247690,118.8629695472,19995874.2222719006,2019-06-10T00:30:30Z
28,-32.7186759736,25.8554424402,19817904.0399740078,2019-06-10T00:30:30Z
29,43.6329265718,-109.3201633607,20165782.7075309344,2019-06-10T00:30:30Z
30,21.3252261272,4.9822880723,20289755.5373988003,2019-06-10T00:30:30Z
31,3.3263376119,165.3632963566,20425791.9959991612,2019-06-10T00:30:30Z
32,-50.0055751797,162.7141913525,20123753.7847878858,2019-06-10T00:30:30Z
1,-55.9627094295,77.6456251917,20348047.7285957262,2019-06-10T00:30:45Z
2,27.8442897113,-39.5226665731,20394594.2991704904,2019-06-10T00:30:45Z
3,-24.5623780149,64.5419241134,20246214.9720819108,2019-06-10T00:30:45Z
4,54.6344572297,27.4960591104,20208525.4713387676,2019-06-10T00:30:45Z
5,53.6785914584,-59.1990680841,20082068.0733932704,2019-06-10T00:30:45Z
6,-0.2668203652,-13.9624726612,20200810.0163572580,2019-06-10T00:30:45Z
7,41.9695506478,26.2010210242,20520030.8859411702,2019-06-10T00:30:45Z
8,-6.4771326097,100.7526678236,20067103.3075320944,2019-06-10T00:30:45Z
9,48.0529612008,52.9326643614,20162740.1416431144,2019-06-10T00:30:45Z
10,-33.1074338896,-161.0902120945,20234947.6380878761,2019-06-10T00:30:45Z
11,-44.3831756829,91.0039699083,20629195.9243618511,2019-06-10T00:30:45Z
12,-28.6241102041,-108.8410140210,20366095.7151796296,2019-06-10T00:30:45Z
13,9.4476127453,-60.3723335468,20138239.1843230948,2019-06-10T00:30:45Z
14,-38.6999690394,144.5404529815,19922570.9637055658,2019-06-10T00:30:45Z
15,-8.9979492688,-86.2267691816,20011336.3104323298,2019-06-10T00:30:45Z
16,55.2250737072,124.3102922463,19999458.0418799408,2019-06-10T00:30:45Z
17,-52.3466218639,-11.5690776056,19860269.7036574222,2019-06-10T00:30:45Z
18,-47.8894639460,111.6983105384,20528438.8127729967,2019-06-10T00:30:45Z
19,-41.8876955259,-31.5323326543,20416494.8874616735,2019-06-10T00:30:45Z
20,-12.2576310476,-150.2669212609,20286788.2704108879,2019-06-10T00:30:45Z
21,35.1328799077,-167.1381973798,20575312.5961277857,2019-06-10T00:30:45Z
22,-38.0324321647,77.6541972839,20076169.6136144586,2019-06-10T00:30:45Z
23,27.2328736637,82.9886795126,20152877.3940680437,2019-06-10T00:30:45Z
24,-52.6659339943,-90.3681063702,20286355.8347130679,2019-06-10T00:30:45Z
25,-3.7760680920,-131.2578325266,20333916.0861921646,2019-06-10T00:30:45Z
26,50.4078570049,165.1029350368,20209271.3073873669,2019-06-10T00:30:45Z
27,18.5338570136,118.8791838309,19995851.2841711342,2019-06-10T00:30:45Z
28,-32.6217135446,25.8937070112,19818633.1442147605,2019-06-10T00:30:45Z
29,43.5516009422,-109.2507658574,20165780.7592030689,2019-06-10T00:30:45Z
30,21.4217071837,5.0040333066,20289711.2192958966,2019-06-10T00:30:45Z
31,3.2254102058,165.3714167073,20425828.4010051489,2019-06-10T00:30:45Z
32,-50.0613920204,162.8272348408,20123870.2722671442,2019-06-10T00:30:45Z
1,-55.9601596304,77.8040655066,20347650.1120949872,2019-06-10T00:31:00Z
2,27.7506977909,-39.4943447211,20393574.0200815760,2019-06-10T00:31:00Z
3,-24.6595904078,64.5654302933,20246249.5093870759,2019-06-10T00:31:00Z
4,54.6169658247,27.6473641784,20208520.0740998127,2019-06-10T00:31:00Z
5,53.7027141910,-59.0523745181,20082294.4124686494,2019-06-10T00:31:00Z
6,-0.3706537635,-13.9549782006,20200733.1875933670,2019-06-10T00:31:00Z
7,42.0467016393,26.2659857415,20519853.9959184676,2019-06-10T00:31:00Z
8,-6.3729524344,100.7623595375,20067115.7708437964,2019-06-10T00:31:00Z
9,47.9901864321,53.0325651167,20162734.5853732154,2019-06-10T00:31:00Z
10,-33.0159174273,-161.0514112810,20235162.5345736742,2019-06-10T00:31:00Z
11,-44.3208272031,91.0867229887,20629017.3165360689,2019-06-10T00:31:00Z
